Date,Open,High,Low,Close,Adj Close,Volume
2021-11-10,7.100000,7.100000,6.950000,7.000000,7.000000,18060521
2021-11-11,7.050000,7.100000,7.000000,7.100000,7.100000,14038609
2021-11-12,7.100000,7.300000,7.050000,7.100000,7.100000,28835161
2021-11-15,7.200000,7.200000,6.900000,6.950000,6.950000,21136719
2021-11-16,7.000000,7.250000,6.900000,7.000000,7.000000,60243878
2021-11-17,6.950000,7.050000,6.950000,6.950000,6.950000,20599142
2021-11-18,7.000000,7.150000,6.800000,6.900000,6.900000,25742984
2021-11-22,7.000000,7.050000,6.800000,6.850000,6.850000,24003175
2021-11-23,6.850000,6.950000,6.750000,6.900000,6.900000,18515651
2021-11-24,6.950000,7.100000,6.850000,6.950000,6.950000,28226344
2021-11-25,7.000000,7.100000,6.950000,7.050000,7.050000,20552052
2021-11-26,7.050000,7.050000,6.800000,6.850000,6.850000,27534845
2021-11-29,6.850000,6.900000,6.550000,6.600000,6.600000,24158441
2021-11-30,6.650000,6.900000,6.600000,6.850000,6.850000,110048148
2021-12-01,7.000000,7.150000,6.900000,7.150000,7.150000,42323739
2021-12-02,7.400000,7.400000,7.000000,7.050000,7.050000,55157601
2021-12-03,7.050000,7.100000,6.950000,7.000000,7.000000,17162856
2021-12-06,7.000000,7.200000,6.950000,7.000000,7.000000,42431828
2021-12-07,7.050000,7.150000,7.000000,7.000000,7.000000,28237672
2021-12-08,7.050000,7.350000,7.050000,7.150000,7.150000,49781867
2021-12-09,7.200000,7.500000,7.100000,7.500000,7.500000,102797428
2021-12-10,7.700000,7.850000,7.650000,7.850000,7.850000,119073478
2021-12-13,7.900000,8.000000,7.500000,7.500000,7.500000,77112976
2021-12-14,7.450000,7.550000,7.200000,7.300000,7.300000,50775292
2021-12-15,7.250000,7.450000,7.200000,7.300000,7.300000,36116121
2021-12-16,7.300000,7.350000,6.950000,7.050000,7.050000,85938379
2021-12-17,7.100000,7.100000,6.700000,6.800000,6.800000,47714038
2021-12-20,6.800000,7.100000,6.600000,7.100000,7.100000,50166975
2021-12-21,7.300000,7.450000,7.300000,7.450000,7.450000,37274894
2021-12-22,7.800000,7.800000,7.800000,7.800000,7.800000,7762150
2021-12-23,8.150000,8.150000,7.700000,7.750000,7.750000,142814213
2021-12-24,7.850000,8.100000,7.450000,8.100000,8.100000,76693591
2021-12-27,8.400000,8.500000,8.300000,8.500000,8.500000,27786223
2021-12-28,8.900000,8.900000,8.900000,8.900000,8.900000,4939710
2021-12-29,9.300000,9.300000,8.800000,9.300000,9.300000,237558976
2021-12-30,9.650000,9.750000,9.550000,9.750000,9.750000,65608733
2021-12-31,10.050000,10.200000,9.900000,10.200000,10.200000,45312941
2022-01-03,10.700000,10.700000,10.500000,10.700000,10.700000,37827124
2022-01-04,10.900000,11.200000,10.200000,10.200000,10.200000,285651349
2022-01-05,9.900000,9.950000,9.700000,9.700000,9.700000,49630125
2022-01-06,9.400000,10.150000,9.300000,10.150000,10.150000,119655199
2022-01-07,10.650000,10.650000,10.450000,10.650000,10.650000,111832189
2022-01-10,11.150000,11.150000,11.150000,11.150000,11.150000,8823599
2022-01-11,11.700000,11.700000,10.800000,11.700000,11.700000,254753919
2022-01-12,12.000000,12.250000,11.350000,11.700000,11.700000,315688924
